S.No,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Age,Purchases,MntTotal
0,1970,Graduation,Single,84835.0,0,0,6/16/14,0,189,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,0,SP,51,15,1190
1,1961,Graduation,Single,57091.0,0,0,6/15/14,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,1,0,CA,60,18,577
2,1958,Graduation,Married,67267.0,0,1,5/13/14,0,134,11,59,15,2,30,1,3,2,5,2,0,0,0,0,0,0,0,US,63,11,251
3,1967,Graduation,Married,32474.0,1,1,05-11-2014,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,AUS,54,4,11
4,1989,Graduation,Single,21474.0,1,0,04-08-2014,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,1,0,SP,32,8,91
5,1958,PhD,Single,71691.0,0,0,3/17/14,0,336,130,411,240,32,43,1,4,7,5,2,0,0,0,0,0,1,0,SP,63,17,1192
6,1954,Master,Married,63564.0,0,0,1/29/14,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,1,0,GER,67,28,1215
7,1967,Graduation,Married,44931.0,0,1,1/18/14,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,SP,54,7,96
8,1954,PhD,Married,65324.0,0,1,01-11-2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,US,67,20,544
9,1954,PhD,Married,65324.0,0,1,01-11-2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,IND,67,20,544
10,1947,Master,Married,81044.0,0,0,12/27/13,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,0,US,74,22,1208
11,1979,Master,Married,62499.0,1,0,12-09-2013,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,SP,42,12,222
